Comunidad;Año;Labor;Totales;Unidades
Castilla y León;2014;P. PIPA;32682;unidades
Castilla-La Mancha;2014;CIGARRILLOS;109076684;unidades
Castilla-La Mancha;2014;CIGARROS;115616408;unidades
Castilla-La Mancha;2014;P. LIAR;310713;unidades
Castilla-La Mancha;2014;P. PIPA;51840;unidades
Cataluña;2014;CIGARRILLOS;436221182;unidades
Cataluña;2014;CIGARROS;367689598;unidades
Cataluña;2014;P. LIAR;1286500;unidades
Cataluña;2014;P. PIPA;96178;unidades
Comunidad Valenciana;2014;CIGARRILLOS;282785249;unidades
Comunidad Valenciana;2014;CIGARROS;267055698;unidades
Comunidad Valenciana;2014;P. LIAR;961673;unidades
Comunidad Valenciana;2014;P. PIPA;125458;unidades
Extremadura;2014;CIGARRILLOS;60848752;unidades
Extremadura;2014;CIGARROS;81465530;unidades
Extremadura;2014;P. LIAR;162051;unidades
Extremadura;2014;P. PIPA;28020;unidades
Galicia;2014;CIGARRILLOS;132849252;unidades
Galicia;2014;CIGARROS;164090270;unidades
Galicia;2014;P. LIAR;288952;unidades
Galicia;2014;P. PIPA;14431;unidades
Madrid (Comunidad de);2014;CIGARRILLOS;310175931;unidades
Madrid (Comunidad de);2014;CIGARROS;190457054;unidades
Madrid (Comunidad de);2014;P. LIAR;721293;unidades
Madrid (Comunidad de);2014;P. PIPA;55763;unidades
Murcia (Región de);2014;CIGARRILLOS;82156765;unidades
Murcia (Región de);2014;CIGARROS;59628969;unidades
Murcia (Región de);2014;P. LIAR;225392;unidades
Murcia (Región de);2014;P. PIPA;32225;unidades
Navarra (Comunidad Foral de);2014;CIGARRILLOS;49777393;unidades
Navarra (Comunidad Foral de);2014;CIGARROS;53130161;unidades
Navarra (Comunidad Foral de);2014;P. LIAR;116155;unidades
Navarra (Comunidad Foral de);2014;P. PIPA;5092;unidades
País Vasco;2014;CIGARRILLOS;126631915;unidades
País Vasco;2014;CIGARROS;166927005;unidades
País Vasco;2014;P. LIAR;225920;unidades
País Vasco;2014;P. PIPA;11412;unidades
Rioja (La);2014;CIGARRILLOS;16636554;unidades
Rioja (La);2014;CIGARROS;27265432;unidades
Rioja (La);2014;P. LIAR;30792;unidades
Rioja (La);2014;P. PIPA;3637;unidades
Andalucía;2013;CIGARRILLOS;1537526824;euros
Andalucía;2013;CIGARROS;64594956;euros
Andalucía;2013;P. LIAR;174976331;euros
Andalucía;2013;P. PIPA;9164703;euros
Aragón;2013;CIGARRILLOS;322818464;euros
Aragón;2013;CIGARROS;20503541;euros
Aragón;2013;P. LIAR;31407086;euros
Aragón;2013;P. PIPA;796918;euros
Asturias (Principado de);2013;CIGARRILLOS;261094644;euros
Asturias (Principado de);2013;CIGARROS;18099703;euros
Asturias (Principado de);2013;P. LIAR;20838463;euros
Asturias (Principado de);2013;P. PIPA;339466;euros
Balears (Illes);2013;CIGARRILLOS;378315406;euros
Balears (Illes);2013;CIGARROS;15337827;euros
Balears (Illes);2013;P. LIAR;48159586;euros
Balears (Illes);2013;P. PIPA;956452;euros
Cantabria;2013;CIGARRILLOS;143496033;euros
Cantabria;2013;CIGARROS;10968778;euros
